Restaurant ID,Restaurant Name,City,User Rating Votes,User Aggregate Rating,Cuisines,Country
7100224,Ortega Fish Shack & Bar,Wellington City,141,4.9,Seafood,New Zealand
7101483,Burger Liquor,Wellington City,185,4.4,American,New Zealand
7100178,Monsoon Poon,Wellington City,205,4.3,Asian,New Zealand
7100865,Shed 5,Wellington City,139,4.5,"European, Pacific",New Zealand
7210754,The Golconda Bowl,Dummy,0,0.0,"North Indian, Mughlai",
7204069,California Cantina,Dummy,0,0.0,"Burger, Fast Food, Mexican, American, Pizza",
7200516,Bardelli's,Dummy,0,0.0,South Indian,
18133267,Baton Rouge,Dummy,0,0.0,Steak,
7204711,Dunkin Donuts,Dummy,0,0.0,"Fast Food, Desserts",
7204029,L'Opera,Dummy,0,0.0,Bakery,
5,Yoko Sizzlers,Dummy,0,0.0,Japanese,
7200182,Kauai,Dummy,0,0.0,Healthy Food,
7204328,Mcdonalds,Dummy,0,0.0,"Italian, North Indian",
3,Cafe Mangii,Dummy,0,0.0,"Italian, European, Bakery",
2,PHD,Dummy,0,0.0,"Fast Food, Biryani",
10,Hotel Sai Palace Garden,Dummy,0,0.0,"North Indian, Chinese, South Indian",
7204068,La Pescadería de Walker,Dummy,0,0.0,Seafood,
7204327,Lane Cuisine Turc - Zorlu Alışveriş Merkezi,Dummy,0,0.0,Turkish,
7204032,4700 BC Popcorn,Dummy,0,0.0,Desserts,
7206255,Indian Zaik,Dummy,0,0.0,"Fast Food, Indian",
7209209,Arabic Nights,Dummy,0,0.0,"Turkish, Mediterranean",
15557859,Domino's Pizza,Dummy,0,0.0,"Pizza, Fast Food",
15561694,Geometrico,Dummy,0,0.0,Others,
15561685,El Patio,Dummy,0,0.0,Healthy Food,
7302200,Mamma Jamma,Rio de Janeiro,12,4.5,Pizza,Brazil
7303710,Paris 6,Rio de Janeiro,28,4.4,French,Brazil
7302898,Aprazível,Rio de Janeiro,63,4.9,Brazilian,Brazil
7304801,Camarada Camarão,Rio de Janeiro,5,4.1,"Brazilian, North Eastern, Seafood",Brazil
